@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
179,21,79,0,100,0,0.21,1,0.21,0,0.347107,0.105,2,0.827249
180,20,80,0,100,0,0.2,1,0.2,0,0.333333,0.1,2,0.82847
181,19,81,0,100,0,0.19,1,0.19,0,0.319328,0.095,2,0.833428
182,18,82,0,100,0,0.18,1,0.18,0,0.305085,0.09,2,0.835722
183,17,83,0,100,0,0.17,1,0.17,0,0.290598,0.085,2,0.837247
184,16,84,0,100,0,0.16,1,0.16,0,0.275862,0.08,2,0.842627
185,15,85,0,100,0,0.15,1,0.15,0,0.26087,0.075,2,0.84271
186,14,86,0,100,0,0.14,1,0.14,0,0.245614,0.07,2,0.843272
187,13,87,0,100,0,0.13,1,0.13,0,0.230088,0.065,2,0.844416
188,12,88,0,100,0,0.12,1,0.12,0,0.214286,0.06,2,0.844834
189,11,89,0,100,0,0.11,1,0.11,0,0.198198,0.055,2,0.855511
190,10,90,0,100,0,0.1,1,0.1,0,0.181818,0.05,2,0.861098
191,9,91,0,100,0,0.09,1,0.09,0,0.165138,0.045,2,0.869406
192,8,92,0,100,0,0.08,1,0.08,0,0.148148,0.04,2,0.87112
193,7,93,0,100,0,0.07,1,0.07,0,0.130841,0.035,2,0.871196
194,6,94,0,100,0,0.06,1,0.06,0,0.113208,0.03,2,0.875617
195,5,95,0,100,0,0.05,1,0.05,0,0.095238,0.025,2,0.880332
196,4,96,0,100,0,0.04,1,0.04,0,0.076923,0.02,2,0.884286
197,3,97,0,100,0,0.03,1,0.03,0,0.058252,0.015,2,0.921127
198,2,98,0,100,0,0.02,1,0.02,0,0.039216,0.01,2,0.940869
199,1,99,0,100,0,0.01,1,0.01,0,0.019802,0.005,?,0.951762
200,0,100,0,100,0,0,?,0,?,?,0,?,0.951772
