@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
154,45,55,1,99,0.01,0.45,0.978261,0.45,0.021739,0.616438,0.23,1.956522,0.875771
155,44,56,1,99,0.01,0.44,0.977778,0.44,0.022222,0.606897,0.225,1.955556,0.877396
156,43,57,1,99,0.01,0.43,0.977273,0.43,0.022727,0.597222,0.22,1.954545,0.878277
157,42,58,1,99,0.01,0.42,0.976744,0.42,0.023256,0.587413,0.215,1.953488,0.878278
158,41,59,1,99,0.01,0.41,0.97619,0.41,0.02381,0.577465,0.21,1.952381,0.878441
159,40,60,1,99,0.01,0.4,0.97561,0.4,0.02439,0.567376,0.205,1.95122,0.879572
160,39,61,1,99,0.01,0.39,0.975,0.39,0.025,0.557143,0.2,1.95,0.882358
161,38,62,1,99,0.01,0.38,0.974359,0.38,0.025641,0.546763,0.195,1.948718,0.884047
162,37,63,1,99,0.01,0.37,0.973684,0.37,0.026316,0.536232,0.19,1.947368,0.885207
163,36,64,1,99,0.01,0.36,0.972973,0.36,0.027027,0.525547,0.185,1.945946,0.888612
164,35,65,1,99,0.01,0.35,0.972222,0.35,0.027778,0.514706,0.18,1.944444,0.888739
165,34,66,1,99,0.01,0.34,0.971429,0.34,0.028571,0.503704,0.175,1.942857,0.888739
166,33,67,1,99,0.01,0.33,0.970588,0.33,0.029412,0.492537,0.17,1.941176,0.889546
167,32,68,1,99,0.01,0.32,0.969697,0.32,0.030303,0.481203,0.165,1.939394,0.889661
168,31,69,1,99,0.01,0.31,0.96875,0.31,0.03125,0.469697,0.16,1.9375,0.890045
169,30,70,1,99,0.01,0.3,0.967742,0.3,0.032258,0.458015,0.155,1.935484,0.890955
170,29,71,1,99,0.01,0.29,0.966667,0.29,0.033333,0.446154,0.15,1.933333,0.891426
171,28,72,1,99,0.01,0.28,0.965517,0.28,0.034483,0.434109,0.145,1.931034,0.891617
172,27,73,1,99,0.01,0.27,0.964286,0.27,0.035714,0.421875,0.14,1.928571,0.891689
173,26,74,1,99,0.01,0.26,0.962963,0.26,0.037037,0.409449,0.135,1.925926,0.891845
174,25,75,1,99,0.01,0.25,0.961538,0.25,0.038462,0.396825,0.13,1.923077,0.892121
175,24,76,1,99,0.01,0.24,0.96,0.24,0.04,0.384,0.125,1.92,0.892684
176,23,77,1,99,0.01,0.23,0.958333,0.23,0.041667,0.370968,0.12,1.916667,0.893886
177,22,78,1,99,0.01,0.22,0.956522,0.22,0.043478,0.357724,0.115,1.913043,0.894267
178,21,79,1,99,0.01,0.21,0.954545,0.21,0.045455,0.344262,0.11,1.909091,0.895018
179,20,80,1,99,0.01,0.2,0.952381,0.2,0.047619,0.330579,0.105,1.904762,0.896024
180,19,81,1,99,0.01,0.19,0.95,0.19,0.05,0.316667,0.1,1.9,0.896473
181,18,82,1,99,0.01,0.18,0.947368,0.18,0.052632,0.302521,0.095,1.894737,0.897122
182,17,83,1,99,0.01,0.17,0.944444,0.17,0.055556,0.288136,0.09,1.888889,0.897166
183,16,84,1,99,0.01,0.16,0.941176,0.16,0.058824,0.273504,0.085,1.882353,0.898559
184,15,85,1,99,0.01,0.15,0.9375,0.15,0.0625,0.258621,0.08,1.875,0.900682
185,14,86,1,99,0.01,0.14,0.933333,0.14,0.066667,0.243478,0.075,1.866667,0.900781
186,13,87,1,99,0.01,0.13,0.928571,0.13,0.071429,0.22807,0.07,1.857143,0.901558
187,12,88,1,99,0.01,0.12,0.923077,0.12,0.076923,0.212389,0.065,1.846154,0.903836
188,11,89,1,99,0.01,0.11,0.916667,0.11,0.083333,0.196429,0.06,1.833333,0.903922
189,10,90,1,99,0.01,0.1,0.909091,0.1,0.090909,0.18018,0.055,1.818182,0.904196
190,9,91,1,99,0.01,0.09,0.9,0.09,0.1,0.163636,0.05,1.8,0.905801
191,8,92,1,99,0.01,0.08,0.888889,0.08,0.111111,0.146789,0.045,1.777778,0.906298
192,7,93,1,99,0.01,0.07,0.875,0.07,0.125,0.12963,0.04,1.75,0.906722
193,6,94,1,99,0.01,0.06,0.857143,0.06,0.142857,0.11215,0.035,1.714286,0.907101
194,5,95,1,99,0.01,0.05,0.833333,0.05,0.166667,0.09434,0.03,1.666667,0.907171
195,4,96,1,99,0.01,0.04,0.8,0.04,0.2,0.07619,0.025,1.6,0.907365
196,3,97,1,99,0.01,0.03,0.75,0.03,0.25,0.057692,0.02,1.5,0.910401
197,2,98,1,99,0.01,0.02,0.666667,0.02,0.333333,0.038835,0.015,1.333333,0.91089
198,1,99,1,99,0.01,0.01,0.5,0.01,0.5,0.019608,0.01,1,0.913658
199,0,100,1,99,0.01,0,0,0,1,?,0.005,?,0.915728
200,0,100,0,100,0,0,?,0,?,?,0,?,0.915738
